progress,mean_reward
0.0025,-399.67468112353237
0.005,41.15460665031569
0.0075,-275.3927482194267
0.01,-186.5519888814073
0.0125,-143.78149322795215
0.015,-119.75494034737349
0.0175,-94.40421110713069
0.02,-110.93060708607663
0.0225,-154.45366873657332
0.025,-160.79704238037812
0.0275,-182.85695669446721
0.03,-160.26530368791427
0.0325,-146.69564306205137
0.035,-141.69295501550658
0.0375,-154.57141756588825
0.04,-152.8798870955332
0.0425,-152.4703392615018
0.045,-52.22144671776332
0.0475,-113.7090174615325
0.05,-42.93580726601649
0.0525,49.72592652365711
0.055,28.65290383917745
0.0575,114.37455761259321
0.06,167.00308519746613
0.0625,223.98004301199262
0.065,189.4829216555337
0.0675,181.30184124821872
0.07,134.83073537433157
0.0725,93.20517009812151
0.075,89.90330175946
0.0775,166.0936080357118
0.08,138.22117237327097
0.0825,9.661171615569355
0.085,154.96978053886994
0.0875,127.01390267687384
0.09,133.14374319190102
0.0925,121.73641039335575
0.095,245.72827520216242
0.0975,239.74309475133174
0.1,243.25491517740525
0.1025,228.33478246392238
0.105,201.97069087452056
0.1075,191.1720185859604
0.11,232.64986175013354
0.1125,243.3721029597801
0.115,253.74566489695076
0.1175,244.94856815388758
0.12,275.5098216215532
0.1225,249.3925638532246
0.125,255.21172180337425
0.1275,255.76257869909236
0.13,259.0365575007138
0.1325,275.6306895104557
0.135,242.60250660525617
0.1375,260.8936672255204
0.14,257.0469093263019
0.1425,257.14351128178566
0.145,267.67982653549865
0.1475,255.39726850031735
0.15,264.6585274131224
0.1525,241.3715267245418
0.155,260.94804294010856
0.1575,254.92643671838164
0.16,262.41819350531847
0.1625,287.9444366577655
0.165,295.39416024102337
0.1675,262.20420845042213
0.17,262.86235511397297
0.1725,252.75114511231703
0.175,268.840122030692
0.1775,273.2257496063551
0.18,270.9513699131674
0.1825,264.43662500790094
0.185,258.10023934857355
0.1875,262.96133229642913
0.19,262.6375150452618
0.1925,270.66359227298324
0.195,213.54465976421844
0.1975,271.83464382820046
0.2,277.4224506767511
0.2025,262.5167383768577
0.205,266.04206017600774
0.2075,278.4060535344541
0.21,261.5787859404845
0.2125,266.5973877413615
0.215,275.3860004342986
0.2175,277.23307842832344
0.22,260.03872798072416
0.2225,263.5662935507311
0.225,271.29221896733634
0.2275,261.9906267096094
0.23,261.97621505091286
0.2325,259.23342406938343
0.235,267.85026066056616
0.2375,274.56945427062584
0.24,263.12224525123673
0.2425,265.7380029288305
0.245,285.3932072141175
0.2475,285.148189220537
0.25,276.47640799519957
0.2525,282.24218404193203
0.255,268.8994870949665
0.2575,272.1813113144778
0.26,280.87829170512623
0.2625,264.7909684376183
0.265,276.06742876169403
0.2675,282.1211093780602
0.27,291.41899042923177
0.2725,268.0111448089097
0.275,276.02754752418275
0.2775,270.85325298384424
0.28,275.02130652925746
0.2825,269.58145379321405
0.285,274.6401788448992
0.2875,270.0346656875389
0.29,285.6524233787668
0.2925,279.4998281931058
0.295,259.86362972268074
0.2975,268.6255954774541
0.3,272.42884807959933
0.3025,260.0281390576182
0.305,264.39633829914874
0.3075,295.5992566178113
0.31,269.6177477253028
0.3125,277.99791160899275
0.315,266.97049704994765
0.3175,280.75327458917326
0.32,269.7229286594435
0.3225,259.7526556837262
0.325,270.4830790164557
0.3275,280.6911929774851
0.33,266.1862685891541
0.3325,278.73603442524006
0.335,275.712913155024
0.3375,272.9637820448349
0.34,272.20895574941767
0.3425,275.0241904427054
0.345,284.9066648050617
0.3475,291.182560174232
0.35,274.0158035076294
0.3525,240.19078342989224
0.355,283.4210202718746
0.3575,291.9911637776618
0.36,285.76697342613534
0.3625,285.94079382555844
0.365,280.44807081002466
0.3675,271.86435315387007
0.37,277.35258605122334
0.3725,274.45780441911563
0.375,276.3210526094066
0.3775,277.59473028199795
0.38,284.68740424733096
0.3825,267.3072191001283
0.385,279.8048249608572
0.3875,275.6475564899991
0.39,267.0054320902295
0.3925,266.1243939145603
0.395,275.25519324517086
0.3975,281.26110849139116
0.4,283.75411298900076
0.4025,269.8751121474508
0.405,279.3924232785386
0.4075,274.69068735052156
0.41,268.16674492238866
0.4125,278.11840662421343
0.415,287.00687411567196
0.4175,276.80266764242356
0.42,275.4094637966581
0.4225,284.408431621828
0.425,273.86506893394926
0.4275,296.46975982497406
0.43,280.6982468209412
0.4325,277.8359871771354
0.435,275.4309877051149
0.4375,270.48878883516363
0.44,251.8642651855479
0.4425,281.2214325105575
0.445,284.0305724902456
0.4475,280.6040760458151
0.45,279.59451887633804
0.4525,235.03367991767794
0.455,290.1963243572137
0.4575,284.86453321261115
0.46,273.2855734877247
0.4625,285.05058476920505
0.465,293.6246285868307
0.4675,273.14076127765844
0.47,266.57618788805365
0.4725,287.3599083508163
0.475,283.1550508268055
0.4775,277.9533559053104
0.48,269.32852560484616
0.4825,278.6084828814095
0.485,263.3228093446663
0.4875,268.4831368921588
0.49,282.1326607747618
0.4925,289.75689117497467
0.495,275.5310560606999
0.4975,296.29605818515745
0.5,265.39077743796753
0.5025,285.52273967841097
0.505,281.7644765048304
0.5075,281.1719865622095
0.51,285.7417945377397
0.5125,289.3653103283915
0.515,222.64684192456497
0.5175,279.28407474318954
0.52,274.12342576732243
0.5225,274.7515557142284
0.525,260.2758499963752
0.5275,243.63665457001667
0.53,288.94712747927025
0.5325,282.935750284815
0.535,273.3972602812873
0.5375,292.71269345218263
0.54,291.5259934550367
0.5425,181.40917183785064
0.545,289.3547700076324
0.5475,286.22973026194876
0.55,271.3194182039347
0.5525,235.87004715372268
0.555,291.2622398476798
0.5575,234.13049506318666
0.56,178.82594227158583
0.5625,284.6997711227608
0.565,284.1959134604919
0.5675,234.7353147391271
0.57,279.08123170898625
0.5725,231.65560454110468
0.575,278.5325606132336
0.5775,248.352084460321
0.58,269.7969206647759
0.5825,291.5384275200514
0.585,271.05451605326664
0.5875,289.21186893877496
0.59,281.4486067889484
0.5925,295.1139710876524
0.595,287.88839590866627
0.5975,283.0151792276753
0.6,285.39634159157293
0.6025,290.9236284946998
0.605,289.9157756861698
0.6075,279.6560475179539
0.61,288.6363754101714
0.6125,283.669639292856
0.615,286.33390575178885
0.6175,270.71037419280714
0.62,285.9856922990857
0.6225,290.51899477640677
0.625,284.0958017715566
0.6275,271.44515451170423
0.63,281.0762333888357
0.6325,271.31144375268633
0.635,235.01566563971483
0.6375,278.7536216915901
0.64,288.6999465193509
0.6425,283.6948297992425
0.645,282.81207546534915
0.6475,271.6144703087137
0.65,234.01673402146253
0.6525,277.57500162545676
0.655,280.3788813818586
0.6575,279.95333758167675
0.66,277.55281854428904
0.6625,283.7865706769923
0.665,290.35329499232574
0.6675,295.49602268635624
0.67,275.21768731705487
0.6725,269.16672791904057
0.675,282.98982830824167
0.6775,282.7930972753475
0.68,283.0618345252644
0.6825,278.2692795440529
0.685,269.73723069001323
0.6875,284.54083934632774
0.69,290.3038983470025
0.6925,285.0051096668112
0.695,275.7484795070717
0.6975,284.7498718961258
0.7,269.3905276245205
0.7025,298.1102674841326
0.705,275.39168816909813
0.7075,236.82814516473144
0.71,295.38144528147654
0.7125,273.9770725795115
0.715,287.4449979767836
0.7175,279.9511932552409
0.72,279.5075161347727
0.7225,268.69722244267706
0.725,268.3700465955177
0.7275,275.7386464659684
0.73,286.07437572515363
0.7325,283.27905781629977
0.735,231.50999522654715
0.7375,266.1722430106489
0.74,291.19418746682686
0.7425,277.10499054104565
0.745,261.3591371385939
0.7475,281.1777056619981
0.75,275.7932199643754
0.7525,284.40915328569133
0.755,281.9554656125679
0.7575,291.32849718133605
0.76,274.6209451939185
0.7625,271.2197091589675
0.765,289.7168618407801
0.7675,287.0519008983007
0.77,248.86054342263498
0.7725,288.2137974881253
0.775,276.55248301063483
0.7775,271.3003596425557
0.78,290.1722397844334
0.7825,285.52431710678604
0.785,281.38036181994266
0.7875,294.4548703699353
0.79,270.69227336274514
0.7925,279.519812838917
0.795,289.1516652062586
0.7975,290.90187974258987
0.8,275.3075247503765
0.8025,277.5540511574492
0.805,270.60600896836723
0.8075,282.08417360663225
0.81,289.1126690235063
0.8125,277.1778961503031
0.815,272.71939597091927
0.8175,285.798615480696
0.82,279.12825625357885
0.8225,283.8575596870928
0.825,272.00577864574626
0.8275,287.91567228740286
0.83,280.36918301121625
0.8325,286.5421540255647
0.835,279.0896284772337
0.8375,292.7418857562058
0.84,280.44655850417973
0.8425,265.899210902522
0.845,277.56840601039596
0.8475,280.67864417525044
0.85,295.4504698797602
0.8525,286.00558193480737
0.855,286.1135221165884
0.8575,271.3168150185814
0.86,283.75954911385895
0.8625,275.609059787319
0.865,273.78814569430625
0.8675,280.8008560699144
0.87,294.0908413916889
0.8725,281.07526472310224
0.875,281.37189227895686
0.8775,282.4106681331842
0.88,278.41414798390286
0.8825,286.04236466131215
0.885,286.7858863477777
0.8875,252.11456758208232
0.89,274.9607688862656
0.8925,279.98106885565323
0.895,279.99810261716345
0.8975,283.3206255168348
0.9,299.4263276444605
0.9025,284.4420340482133
0.905,289.63506850698235
0.9075,278.2251949637094
0.91,281.2992096101994
0.9125,291.7006074039327
0.915,287.7288232126351
0.9175,290.04828176019356
0.92,263.9248987506412
0.9225,279.8077044106193
0.925,285.8301198518414
0.9275,291.63069681430454
0.93,290.4460039027839
0.9325,285.32568873263256
0.935,283.2030450442493
0.9375,288.6530557929132
0.94,271.24757439669276
0.9425,288.6418852125354
0.945,258.13329400489187
0.9475,287.9177190530676
0.95,284.3099333187087
0.9525,276.3839112561345
0.955,278.25702703149364
0.9575,284.1747563148977
0.96,293.58909561431375
0.9625,279.2501191336406
0.965,282.54213810504723
0.9675,287.9532573394771
0.97,288.77931976410025
0.9725,293.3438544145587
0.975,277.6461235013091
0.9775,289.2789259041709
0.98,266.9107227655435
0.9825,290.29984026366185
0.985,291.15321751448295
0.9875,295.92632523360834
0.99,278.7653786328475
0.9925,281.4815426453856
0.995,283.83999927630305
0.9975,286.0373705232264
1.0,279.44538671066204
